temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
0.9997408;0.87711954;2051.0957;-6032.832;-3981.7363;734.94476;0.0;0.0
1.0000683;0.8872106;2052.47;-6027.311;-3974.841;787.8463;0.0;0.0
1.00044;0.8950588;2053.9834;-6023.3076;-3969.3242;828.1009;0.0;0.0
1.0008197;0.9003902;2055.5361;-6020.8823;-3965.3462;854.3967;0.0;0.0
1.0011983;0.9033907;2057.1106;-6020.03;-3962.9192;867.7951;0.0;0.0
1.0015785;0.90373224;2058.6638;-6020.6904;-3962.0266;866.5722;0.0;0.0
1.0019349;0.90198046;2060.0828;-6022.7812;-3962.6985;854.0735;0.0;0.0
1.002239;0.8983461;2061.2375;-6026.078;-3964.8406;831.7214;0.0;0.0
1.002462;0.8928553;2062.0637;-6030.07;-3968.006;799.7881;0.0;0.0
1.0026147;0.88596183;2062.69;-6034.811;-3972.121;760.51965;0.0;0.0
1.0027473;0.8783676;2063.2747;-6040.0503;-3976.7756;717.4696;0.0;0.0
1.0028777;0.86961275;2063.7827;-6045.8267;-3982.044;668.17236;0.0;0.0
1.0029598;0.8607445;2063.9927;-6051.882;-3987.8892;618.8457;0.0;0.0
1.0029333;0.8516578;2063.7158;-6057.602;-3993.8862;569.2883;0.0;0.0
1.0027801;0.84389;2062.9365;-6062.539;-3999.6025;528.009;0.0;0.0
1.0025225;0.8376066;2061.8496;-6066.3906;-4004.541;495.5311;0.0;0.0
1.0022411;0.8326995;2060.7566;-6069.1084;-4008.3518;470.65543;0.0;0.0
1.0020008;0.82898986;2059.877;-6071.004;-4011.127;451.9567;0.0;0.0
1.0018302;0.82688683;2059.2185;-6072.1865;-4012.968;441.676;0.0;0.0
1.0016931;0.82564723;2058.5825;-6072.8057;-4014.2231;436.11163;0.0;0.0
1.0015259;0.82566017;2057.7927;-6072.5996;-4014.807;437.7626;0.0;0.0
1.0013155;0.82699287;2056.8965;-6071.498;-4014.6016;446.90466;0.0;0.0
1.0010936;0.8298395;2055.9353;-6069.4663;-4013.531;464.52594;0.0;0.0
1.0008341;0.8343591;2054.7192;-6066.193;-4011.4736;491.88254;0.0;0.0
1.0004797;0.8407283;2053.1665;-6061.405;-4008.2383;530.1128;0.0;0.0
1.0000737;0.8494823;2051.5845;-6054.949;-4003.3647;581.5533;0.0;0.0
